Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Match Report
2015-08-11,22:45 ,Super Cup,UEFA Super Cup,Tue,Home,W,5 (1),4 (0),es Sevilla,5,,10,,,0.50,,,0,0,,,,,,Match Report
2015-08-14,22:00 ,Supercopa de España,Supercopa de España,Fri,Away,L,0,4,Athletic Club,0,,,,,,,,0,0,,,,,,Match Report
2015-08-17,22:00 ,Supercopa de España,Supercopa de España,Mon,Home,D,1,1,Athletic Club,1,,,,,,,,0,0,,,,,,Match Report
2015-08-23,18:30 ,La Liga,Matchweek 1,Sun,Away,W,1,0,Athletic Club,1,10,4,40.0,0.10,0.25,18.1,1,0,1,1.8,1.1,0.12,-0.8,-0.1,Match Report
2015-08-29,20:30 ,La Liga,Matchweek 2,Sat,Home,W,1,0,Málaga,1,22,13,59.1,0.05,0.08,15.0,0,0,0,2.4,2.4,0.11,-1.4,-1.4,Match Report
2015-09-12,20:30 ,La Liga,Matchweek 3,Sat,Away,W,2,1,Atlético Madrid,2,13,5,38.5,0.15,0.40,14.4,2,0,0,2.1,2.1,0.16,-0.1,-0.1,Match Report
2015-09-16,20:45 ,Champions Lg,Group stage,Wed,Away,D,1,1,it Roma,1,16,3,18.8,0.06,0.33,,,0,0,,,,,,Match Report
2015-09-20,20:30 ,La Liga,Matchweek 4,Sun,Home,W,4,1,Levante,4,21,8,38.1,0.14,0.38,15.5,2,1,2,3.4,1.9,0.10,+0.6,+1.1,Match Report
2015-09-23,20:00 ,La Liga,Matchweek 5,Wed,Away,L,1,4,Celta Vigo,1,18,7,38.9,0.06,0.14,14.8,1,0,0,2.7,2.7,0.15,-1.7,-1.7,Match Report
2015-09-26,16:00 ,La Liga,Matchweek 6,Sat,Home,W,2,1,Las Palmas,2,18,6,33.3,0.11,0.33,18.3,2,0,1,2.6,1.8,0.11,-0.6,+0.2,Match Report
2015-09-29,20:45 ,Champions Lg,Group stage,Tue,Home,W,2,1,de Leverkusen,2,17,9,52.9,0.12,0.22,,,0,0,,,,,,Match Report
2015-10-03,16:00 ,La Liga,Matchweek 7,Sat,Away,L,1,2,Sevilla,1,28,9,32.1,0.00,0.00,,,1,1,,,,,,Match Report
2015-10-17,20:30 ,La Liga,Matchweek 8,Sat,Home,W,5,2,Rayo Vallecano,5,14,9,64.3,0.21,0.33,,,2,2,,,,,,Match Report
2015-10-20,21:45 ,Champions Lg,Group stage,Tue,Away,W,2,0,by BATE Borisov,2,21,6,28.6,0.10,0.33,,,0,0,,,,,,Match Report
2015-10-25,18:15 ,La Liga,Matchweek 9,Sun,Home,W,3,1,Eibar,3,14,5,35.7,0.21,0.60,,,0,0,,,,,,Match Report
2015-10-28,20:30 ,Copa del Rey,Round of 32,Wed,Away,D,0,0,Villanovense,0,,,,,,,,0,0,,,,,,Match Report
2015-10-31,20:30 ,La Liga,Matchweek 10,Sat,Away,W,2,0,Getafe,2,14,6,42.9,0.14,0.33,,,0,0,,,,,,Match Report
2015-11-04,20:45 ,Champions Lg,Group stage,Wed,Home,W,3,0,by BATE Borisov,3,23,7,30.4,0.09,0.29,,,1,1,,,,,,Match Report
2015-11-08,16:00 ,La Liga,Matchweek 11,Sun,Home,W,3,0,Villarreal,3,20,9,45.0,0.10,0.22,,,1,1,,,,,,Match Report
2015-11-21,18:15 ,La Liga,Matchweek 12,Sat,Away,W,4,0,Real Madrid,4,18,7,38.9,0.22,0.57,16.8,3,0,0,3.0,3.0,0.17,+1.0,+1.0,Match Report
2015-11-24,20:45 ,Champions Lg,Group stage,Tue,Home,W,6,1,it Roma,6,19,12,63.2,0.32,0.50,,,0,1,,,,,,Match Report
2015-11-28,16:00 ,La Liga,Matchweek 13,Sat,Home,W,4,0,Real Sociedad,4,11,6,54.5,0.36,0.67,12.5,1,0,0,2.9,2.9,0.27,+1.1,+1.1,Match Report
2015-12-02,20:00 ,Copa del Rey,Round of 32,Wed,Home,W,6,1,Villanovense,6,,,,,,,,0,0,,,,,,Match Report
2015-12-05,20:30 ,La Liga,Matchweek 14,Sat,Away,D,1,1,Valencia,1,16,5,31.3,0.06,0.20,16.9,1,0,0,1.6,1.6,0.10,-0.6,-0.6,Match Report
2015-12-09,20:45 ,Champions Lg,Group stage,Wed,Away,D,1,1,de Leverkusen,1,6,2,33.3,0.17,0.50,,,0,0,,,,,,Match Report
2015-12-12,16:00 ,La Liga,Matchweek 15,Sat,Home,D,2,2,La Coruña,2,17,7,41.2,0.12,0.29,20.7,2,0,0,1.1,1.1,0.07,+0.9,+0.9,Match Report
2015-12-30,20:30 ,La Liga,Matchweek 17,Wed,Home,W,4,0,Betis,3,16,7,43.8,0.19,0.43,15.2,3,0,1,4.1,3.4,0.23,-1.1,-0.4,Match Report
2016-01-02,16:00 ,La Liga,Matchweek 18,Sat,Away,D,0,0,Espanyol,0,10,2,20.0,0.00,0.00,16.6,2,0,0,1.2,1.2,0.12,-1.2,-1.2,Match Report
2016-01-06,20:30 ,Copa del Rey,Round of 16,Wed,Home,W,4,1,Espanyol,4,,,,,,,,0,0,,,,,,Match Report
2016-01-09,16:00 ,La Liga,Matchweek 19,Sat,Home,W,4,0,Granada,4,17,8,47.1,0.24,0.50,17.2,1,0,0,3.9,3.9,0.23,+0.1,+0.1,Match Report
2016-01-13,21:00 ,Copa del Rey,Round of 16,Wed,Away,W,2,0,Espanyol,2,,,,,,,,0,0,,,,,,Match Report
2016-01-17,20:30 ,La Liga,Matchweek 20,Sun,Home,W,6,0,Athletic Club,6,20,8,40.0,0.25,0.63,15.8,2,1,1,3.4,2.6,0.14,+2.6,+2.4,Match Report
2016-01-20,21:00 ,Copa del Rey,Quarter-finals,Wed,Away,W,2,1,Athletic Club,2,,,,,,,,0,0,,,,,,Match Report
2016-01-23,16:00 ,La Liga,Matchweek 21,Sat,Away,W,2,1,Málaga,2,12,6,50.0,0.17,0.33,13.0,2,0,0,2.2,2.2,0.19,-0.2,-0.2,Match Report
2016-01-27,21:30 ,Copa del Rey,Quarter-finals,Wed,Home,W,3,1,Athletic Club,3,,,,,,,,0,0,,,,,,Match Report
2016-01-30,16:00 ,La Liga,Matchweek 22,Sat,Home,W,2,1,Atlético Madrid,2,10,4,40.0,0.20,0.50,17.9,2,0,0,0.7,0.7,0.07,+1.3,+1.3,Match Report
2016-02-03,21:00 ,Copa del Rey,Semi-finals,Wed,Home,W,7,0,Valencia,7,,,,,,,,0,1,,,,,,Match Report
2016-02-07,12:00 ,La Liga,Matchweek 23,Sun,Away,W,2,0,Levante,1,11,4,36.4,0.09,0.25,21.2,2,0,0,1.1,1.1,0.10,-0.1,-0.1,Match Report
2016-02-10,21:00 ,Copa del Rey,Semi-finals,Wed,Away,D,1,1,Valencia,1,,,,,,,,0,0,,,,,,Match Report
2016-02-14,20:30 ,La Liga,Matchweek 24,Sun,Home,W,6,1,Celta Vigo,6,20,11,55.0,0.30,0.55,13.7,3,0,1,4.0,3.4,0.18,+2.0,+2.6,Match Report
2016-02-17,18:30 ,La Liga,Matchweek 16,Wed,Away,W,3,1,Sporting Gijón,3,17,8,47.1,0.18,0.38,16.3,0,0,1,2.4,1.7,0.11,+0.6,+1.3,Match Report
2016-02-20,15:00 ,La Liga,Matchweek 25,Sat,Away,W,2,1,Las Palmas,2,12,7,58.3,0.17,0.29,11.4,1,0,0,2.9,2.9,0.25,-0.9,-0.9,Match Report
2016-02-23,19:45 ,Champions Lg,Round of 16,Tue,Away,W,2,0,eng Arsenal,2,15,4,26.7,0.07,0.25,,,1,1,,,,,,Match Report
2016-02-28,20:30 ,La Liga,Matchweek 26,Sun,Home,W,2,1,Sevilla,2,17,8,47.1,0.12,0.25,14.3,1,0,0,2.0,2.0,0.12,0.0,0.0,Match Report
2016-03-03,21:00 ,La Liga,Matchweek 27,Thu,Away,W,5,1,Rayo Vallecano,5,20,8,40.0,0.25,0.63,13.1,1,0,1,4.0,3.4,0.18,+1.0,+1.6,Match Report
2016-03-06,16:00 ,La Liga,Matchweek 28,Sun,Away,W,4,0,Eibar,4,10,7,70.0,0.30,0.43,14.6,1,1,1,2.5,1.7,0.19,+1.5,+1.3,Match Report
2016-03-12,16:00 ,La Liga,Matchweek 29,Sat,Home,W,6,0,Getafe,5,16,9,56.3,0.31,0.56,16.5,2,0,1,3.5,2.8,0.18,+1.5,+2.2,Match Report
2016-03-16,20:45 ,Champions Lg,Round of 16,Wed,Home,W,3,1,eng Arsenal,3,17,8,47.1,0.18,0.38,,,0,0,,,,,,Match Report
2016-03-20,16:00 ,La Liga,Matchweek 30,Sun,Away,D,2,2,Villarreal,2,15,6,40.0,0.07,0.17,18.1,0,1,1,1.8,1.0,0.07,+0.2,0.0,Match Report
2016-04-02,20:30 ,La Liga,Matchweek 31,Sat,Home,L,1,2,Real Madrid,1,14,3,21.4,0.07,0.33,19.9,2,0,0,0.9,0.9,0.06,+0.1,+0.1,Match Report
2016-04-05,20:45 ,Champions Lg,Quarter-finals,Tue,Home,W,2,1,es Atlético Madrid,2,21,5,23.8,0.10,0.40,,,0,0,,,,,,Match Report
2016-04-09,20:30 ,La Liga,Matchweek 32,Sat,Away,L,0,1,Real Sociedad,0,13,6,46.2,0.00,0.00,18.8,2,0,0,1.4,1.4,0.11,-1.4,-1.4,Match Report
2016-04-13,20:45 ,Champions Lg,Quarter-finals,Wed,Away,L,0,2,es Atlético Madrid,0,13,4,30.8,0.00,0.00,,,0,0,,,,,,Match Report
2016-04-17,20:30 ,La Liga,Matchweek 33,Sun,Home,L,1,2,Valencia,1,22,7,31.8,0.05,0.14,14.9,2,0,0,2.5,2.5,0.12,-1.5,-1.5,Match Report
2016-04-20,20:00 ,La Liga,Matchweek 34,Wed,Away,W,8,0,La Coruña,8,19,10,52.6,0.42,0.80,12.9,0,0,0,4.8,4.8,0.28,+3.2,+3.2,Match Report
2016-04-23,20:30 ,La Liga,Matchweek 35,Sat,Home,W,6,0,Sporting Gijón,6,24,10,41.7,0.13,0.30,16.0,1,3,3,5.1,2.8,0.13,+0.9,+0.2,Match Report
2016-04-30,20:30 ,La Liga,Matchweek 36,Sat,Away,W,2,0,Betis,2,11,4,36.4,0.18,0.50,14.2,0,0,0,2.3,2.3,0.21,-0.3,-0.3,Match Report
2016-05-08,17:00 ,La Liga,Matchweek 37,Sun,Home,W,5,0,Espanyol,5,13,7,53.8,0.38,0.71,14.5,3,0,0,3.3,3.3,0.26,+1.7,+1.7,Match Report
2016-05-14,17:00 ,La Liga,Matchweek 38,Sat,Away,W,3,0,Granada,3,12,10,83.3,0.25,0.30,14.5,2,0,0,2.5,2.5,0.20,+0.5,+0.5,Match Report
2016-05-22,21:30 ,Copa del Rey,Final,Sun,Home,W,2,0,Sevilla,2,,,,,,,,0,0,,,,,,Match Report
